sample	value
1001	0.0755
1002	0.1037
1003	0.001117
1004	0.08767
1005	0.04438
1006	0.03603
1007	0.0766
1008	2.055E-4
1009	0.04841
1010	0.1123
1011	0.05255
1012	0.03226
1013	0.0839
1014	0.06312
1015	0.08126
1016	0.09758
1017	0.1391
1018	0.05674
1019	0.0234
1020	0.03008
1021	0.1092
1022	0.1098
1023	0.06524
1024	0.08625
1025	0.0879
1026	0.1148
1027	0.06617
1028	0.03306
1029	0.01542
1030	0.1227
1031	0.09763
1032	0.07494
1033	0.1158
1034	0.07826
1035	0.07531
1036	0.09816
1037	0.044
1038	0.1014
1039	0.06689
1040	0.08752
1041	0.02818
1042	0.1143
1043	0.0454
1044	0.09384
1045	0.08316
1046	0.02943
1047	0.08084
1048	0.04157
1049	0.1151
1050	0.1053
1051	0.0236
1052	0.06647
1053	0.03398
1054	0.05666
1055	0.1094
1056	0.04074
1057	0.1168
1058	0.04163
1059	0.1085
1060	0.1357
1061	0.06226
1062	0.1192
1063	0.04176
1064	0.09635
1065	0.05049
1066	0.114
1067	0.01952
1068	0.00789
1069	0.01833
1070	0.05206
1071	0.07344
1072	0.105
1073	0.07831
1074	0.0522
1075	0.09237
1076	0.1224
1077	0.03362
1078	0.0185
1079	0.1192
1080	0.08249
1081	0.04582
1082	0.1637
1083	0.04934
1084	0.1105
1085	0.1207
1086	0.08782
1087	0.08055
1088	-0.002958
1089	0.101
1090	0.1527
1091	0.07411
1092	0.003763
1093	0.07175
1094	0.02743
1095	0.1263
1096	0.05083
1097	0.03725
1098	0.08091
1099	0.1427
1100	0.04194
1101	0.0827
1102	0.1007
1103	0.05384
1104	0.07514
1105	0.06547
1106	0.06386
1107	0.04464
1108	0.008551
1109	0.06797
1110	0.07446
1111	0.02558
1112	0.05694
1113	0.04093
1114	0.09998
1115	0.08658
1116	0.1035
1117	0.08663
1118	0.076
1119	0.0916
1120	0.1443
1121	0.04772
1122	0.05276
1123	0.05308
1124	0.04461
1125	0.0939
1126	0.1034
1127	0.06477
1128	0.1083
1129	0.1003
1130	0.03834
1131	0.05769
1132	0.06055
1133	0.125
1134	0.04878
1135	0.1253
1136	0.01457
1137	0.1031
1138	0.03808
1139	0.004627
1140	0.1002
1141	0.05744
1142	0.07575
1143	0.1122
1144	0.05913
1145	0.04243
1146	0.07059
1147	0.05735
1148	0.05201
1149	0.06855
1150	0.08468
1151	0.04313
1152	-0.02162
1153	0.1033
1154	0.07437
1155	0.1112
1156	0.03392
1157	0.05815
1158	-0.009341
1159	0.04749
1160	0.08514
1161	0.1532
1162	0.0293
1163	0.06984
1164	0.03529
1165	0.0745
1166	0.08179
1167	0.08629
1168	0.08014
1169	0.1217
1170	0.09302
1171	0.07805
1172	0.07357
1173	0.04474
1174	0.03011
1175	0.05086
1176	0.0203
1177	0.07957
1178	0.05667
1179	0.08207
1180	0.0312
1181	0.09931
1182	0.1021
1183	0.07503
1184	0.07338
1185	0.07401
1186	0.09772
1187	0.03256
1188	0.02135
1189	0.0322
1190	0.05821
1191	0.02085
1192	0.08416
1193	0.1114
1194	0.02236
1195	0.09999
1196	0.09619
1197	0.05195
1198	0.0757
1199	0.05416
1200	0.1396
1201	0.03012
1202	0.1267
1203	0.04914
1204	0.1267
1205	0.05789
1206	0.05761
1207	0.07717
1208	0.05212
1209	0.07327
1210	0.08404
1211	0.06899
1212	0.07902
1213	0.01543
1214	0.09964
1215	0.09014
1216	0.07532
1217	0.06844
1218	0.06971
1219	0.06653
1220	0.09369
1221	0.07762
1222	0.07504
1223	0.02313
1224	0.02595
1225	0.04845
1226	0.01804
1227	0.06736
1228	0.05572
1229	8.454E-4
1230	0.01356
1231	0.07613
1232	0.01822
1233	0.01826
1234	0.06231
1235	0.05305
1236	0.0886
1237	0.05724
1238	0.07628
1239	0.06573
1240	0.07467
1241	0.07774
1242	0.06692
1243	0.04447
1244	0.08943
1245	0.04633
1246	0.06945
1247	0.09884
1248	0.07436
1249	0.07686
1250	0.02851
1251	0.05841
1252	0.1047
1253	0.03767
1254	0.0173
1255	-0.01377
1256	0.04472
1257	0.02551
1258	0.08132
1259	0.0323
1260	0.08086
1261	0.0318
1262	0.09683
1263	0.08344
1264	0.04178
1265	0.1616
1266	0.1194
1267	0.07322
1268	0.075
1269	0.0296
1270	0.04317
1271	0.047
1272	0.102
1273	0.009341
1274	0.07587
1275	0.09187
1276	0.07046
1277	0.09709
1278	-0.01744
1279	0.1476
1280	0.05775
1281	0.0156
1282	0.04653
1283	0.03425
1284	0.06466
1285	0.1791
1286	0.04691
1287	0.106
1288	0.03027
1289	0.06726
1290	0.1335
1291	0.002318
1292	0.1342
1293	0.0647
1294	0.03482
1295	0.1007
1296	0.03972
1297	0.1098
1298	0.03026
1299	0.07531
1300	0.04475
1301	0.04156
1302	0.08685
1303	0.1312
1304	0.01887
1305	0.1128
1306	0.0517
1307	0.1212
1308	0.08451
1309	0.04909
1310	0.116
1311	0.05084
1312	0.1316
1313	0.08067
1314	0.04979
1315	0.06834
1316	0.05076
1317	0.1228
1318	0.02236
1319	0.08816
1320	0.06997
1321	0.01737
1322	0.06504
1323	0.04948
1324	0.1233
1325	0.04579
1326	0.02755
1327	0.03253
1328	0.1049
1329	0.07498
1330	0.01431
1331	0.04328
1332	0.08418
1333	0.00961
1334	0.06481
1335	0.06063
1336	0.1186
1337	0.08407
1338	0.04516
1339	0.05854
1340	0.06851
1341	0.06321
1342	0.07793
1343	0.08919
1344	0.07677
1345	0.09695
1346	0.08172
1347	0.04354
1348	0.006968
1349	0.03819
1350	0.0138
1351	0.07436
1352	0.07353
1353	0.07089
1354	0.01914
1355	0.1845
1356	0.1011
1357	0.05615
1358	0.1003
1359	0.1339
1360	0.1109
1361	0.08802
1362	0.1109
1363	0.1561
1364	0.1249
1365	0.006691
1366	0.1047
1367	0.02607
1368	0.1085
1369	0.1526
1370	0.07024
1371	0.06012
1372	0.1117
1373	0.09245
1374	0.04425
1375	0.08737
1376	0.1117
1377	0.09724
1378	0.06536
1379	0.09182
1380	0.1086
1381	0.08939
1382	0.02157
1383	0.04096
1384	0.07319
1385	0.04308
1386	0.08204
1387	0.0869
1388	0.007975
1389	0.1325
1390	0.05665
1391	0.06437
1392	0.1001
1393	0.1802
1394	0.02016
1395	0.01908
1396	0.06836
1397	0.07804
1398	0.07801
1399	0.0622
1400	0.04612
1401	0.06551
1402	0.08479
1403	0.07004
1404	0.08931
1405	0.05098
1406	0.07158
1407	0.07493
1408	0.07492
1409	0.1116
1410	0.09474
1411	0.07786
1412	0.003101
1413	0.1236
1414	0.03772
1415	0.1044
1416	0.09248
1417	0.07834
1418	0.03034
1419	0.01596
1420	0.07393
1421	0.05145
1422	0.02379
1423	0.06147
1424	0.08833
1425	0.05116
1426	0.08391
1427	0.0451
1428	0.1143
1429	0.06882
1430	0.06075
1431	0.1212
1432	0.009955
1433	0.03318
1434	0.08395
1435	0.01426
1436	0.06764
1437	0.08111
1438	0.06425
1439	0.07353
1440	0.07635
1441	0.09505
1442	0.04017
1443	0.0861
1444	0.0247
1445	0.07268
1446	0.05825
1447	0.07629
1448	0.05479
1449	0.05106
1450	0.09118
1451	0.07873
1452	0.1475
1453	0.04078
1454	0.0543
1455	0.01877
1456	0.08455
1457	0.1048
1458	0.08167
1459	0.06075
1460	0.0363
1461	0.0635
1462	0.05985
1463	0.08167
1464	0.08215
1465	0.149
1466	0.1095
1467	0.1077
1468	0.06948
1469	0.02795
1470	0.06394
1471	0.07851
1472	0.05414
1473	0.02947
1474	0.02435
1475	0.05519
1476	0.06785
1477	0.04575
1478	0.05301
1479	0.131
1480	0.1135
1481	0.07549
1482	0.04818
1483	0.0614
1484	0.08124
1485	0.1137
1486	0.09735
1487	0.08834
1488	0.06928
1489	0.05561
1490	0.03011
1491	0.06412
1492	0.08875
1493	-0.01129
1494	0.1248
1495	0.07264
1496	0.04669
1497	-0.009535
1498	0.09396
1499	0.1232
1500	0.0627
1501	0.06252
1502	0.1322
1503	0.003041
1504	0.05068
1505	0.05712
1506	0.03058
1507	0.04606
1508	-0.006116
1509	0.009824
1510	0.04073
1511	0.07385
1512	0.04933
1513	0.07172
1514	0.1151
1515	0.06441
1516	0.07985
1517	0.02012
1518	0.1127
1519	0.05178
1520	0.09807
1521	0.08308
1522	0.05299
1523	0.05125
1524	0.1589
1525	0.05
1526	0.02811
1527	0.09147
1528	0.06523
1529	0.05171
1530	0.07898
1531	0.07001
1532	0.01208
1533	0.08868
1534	0.1331
1535	0.08736
1536	0.0479
1537	0.08184
1538	0.02599
1539	0.05356
1540	0.05196
1541	0.1174
1542	-0.02595
1543	0.08423
1544	0.09674
1545	0.1131
1546	0.1305
1547	0.04084
1548	0.03975
1549	0.1115
1550	0.1283
1551	0.02155
1552	0.06137
1553	0.1387
1554	0.09362
1555	0.07972
1556	0.04138
1557	0.0551
1558	0.05529
1559	0.09501
1560	0.1084
1561	0.06904
1562	0.01805
1563	0.09516
1564	0.08292
1565	0.03193
1566	0.1284
1567	0.008762
1568	0.07549
1569	0.1059
1570	0.09654
1571	0.08331
1572	0.03855
1573	0.09345
1574	0.03705
1575	0.0915
1576	0.03861
1577	0.1077
1578	0.08806
1579	0.1119
1580	0.1261
1581	0.04686
1582	0.09255
1583	0.09577
1584	0.03442
1585	0.06914
1586	0.05403
1587	0.09019
1588	0.07371
1589	0.06765
1590	0.04602
1591	0.1088
1592	0.01157
1593	0.06429
1594	0.08814
1595	0.09121
1596	0.1059
1597	0.04296
1598	0.007716
1599	0.06661
1600	0.05288
1601	0.07394
1602	0.09615
1603	0.1321
1604	0.1594
1605	0.003508
1606	0.05109
1607	0.07023
1608	0.05959
1609	0.07391
1610	-5.682E-4
1611	0.09214
1612	0.09728
1613	0.04905
1614	0.04855
1615	-0.01636
1616	0.08812
1617	0.08631
1618	0.07388
1619	0.08001
1620	0.09547
1621	0.05152
1622	0.05581
1623	0.06776
1624	0.1152
1625	0.05402
1626	0.1034
1627	0.09865
1628	0.04943
1629	0.07378
1630	0.09663
1631	0.1041
1632	0.03963
1633	0.1179
1634	0.05135
1635	0.1824
1636	0.1229
1637	0.03681
1638	0.04825
1639	0.1328
1640	0.09183
1641	0.1092
1642	0.08826
1643	0.08834
1644	0.07121
1645	0.1224
1646	0.1096
1647	0.09314
1648	0.07191
1649	0.1189
1650	0.1195
1651	0.03457
1652	0.02874
1653	0.09525
1654	0.093
1655	0.1136
1656	0.03586
1657	0.04676
1658	0.03292
1659	0.1181
1660	0.1194
1661	0.03084
1662	-0.008563
1663	0.06651
1664	0.08302
1665	0.06299
1666	0.07708
1667	0.07258
1668	0.03613
1669	0.02759
1670	-0.03036
1671	0.06737
1672	-0.02497
1673	0.1117
1674	0.07847
1675	-0.001549
1676	0.08086
1677	0.02632
1678	0.09875
1679	8.201E-4
1680	0.01498
1681	0.07784
1682	0.0111
1683	-0.00407
1684	0.1384
1685	0.02222
1686	0.1208
1687	0.07561
1688	0.07401
1689	0.0649
1690	0.08354
1691	0.08829
1692	0.08113
1693	0.06063
1694	0.1189
1695	0.04194
1696	0.03927
1697	0.1042
1698	0.02352
1699	0.02819
1700	0.06765
1701	0.05898
1702	0.06652
1703	0.06725
1704	0.03804
1705	0.0851
1706	0.02704
1707	0.03227
1708	0.1002
1709	0.1279
1710	0.1412
1711	0.07392
1712	0.1149
1713	0.03528
1714	0.04049
1715	0.04729
1716	0.1229
1717	0.0941
1718	0.07124
1719	0.1004
1720	0.0594
1721	0.05912
1722	0.01552
1723	0.008222
1724	0.08598
1725	0.1211
1726	0.1062
1727	0.04562
1728	0.03513
1729	0.1226
1730	0.01962
1731	0.03951
1732	0.0322
1733	0.07105
1734	0.108
1735	0.1544
1736	0.162
1737	0.09994
