ICO;DAT_OD;DAT_DO;POC_MESICU;AKTIVACELK;OBEZNAA;Z;VLASTNIJM;HVML;KZ;KBU;TZPZ;TZPVVAS;ZCPIMM;PROVHOSPV;
"IÈ firmy";"Zaèátek období";"Konec období";"Poèet mìsícù úèetní závìrky";"Aktiva celkem - tis. Kè";"Obìžná aktiva - tis. Kè";"Zásoby - tis. Kè";"Vlastní kapitál - tis. Kè";"Výsledek hospodaøení minulých let - tis. Kè";"Krátkodobé závazky - tis. Kè";"Krátkodobé bankovní úvìry - tis. Kè";"Tržby za prodej zboží - tis. Kè";"Tržby za prodej vlastních výrobkù a služeb - tis. Kè";"Zùstatková cena prodaného dlouhodobého majetku a materiálu - tis. Kè";"Provozní výsledek hospodaøení - tis. Kè";
"29316359";20130101;20131231;"12";12844;9868;1315;646;-28;7690;1694;17127;8057;201;731;
"29316359";20121213;20121231;" 1";200;156;;172;;;;;;;-27;
"64049922";20110101;20111231;"12";10717;6455;1486;647;-1332;3226;3299;;;;;
"64049922";20100101;20101231;"12";13281;8642;1423;1171;-1359;4686;3513;190;20426;;1270;
"64049922";20090101;20091231;"12";12800;7839;1173;472;1106;4284;3514;486;16454;;-1795;
"46964827";20080101;20081231;"12";561;561;;490;;71;;;279;;482;
"26315793";20120101;20121231;"12";8264;7489;1883;976;807;7228;;;6561;;128;
"26315793";20110101;20111231;"12";3883;2628;202;907;236;2976;;;5215;;676;
"26315793";20100101;20101231;"12";963;953;31;396;;567;;231;2931;;299;
"26315793";20090101;20091231;"12";337;337;206;81;;256;;;;;-19;
"27755169";20080101;20081231;"12";4221;3916;;2924;;1215;;172;9790;;3481;
"46969250";20130101;20131231;"12";172390;96307;22936;78622;71156;52556;21761;9654;154372;2194;9912;
"46969250";20120101;20121231;"12";178752;104131;22705;71276;66760;58321;22583;8560;158653;4099;5499;
"46969250";20110101;20111231;"12";173258;94399;19396;68880;52843;62808;9630;6594;144994;2136;17937;
"46969250";20100101;20101231;"12";133220;70025;18863;54024;33487;49733;2744;6648;143065;1052;21487;
"46969250";20090101;20091231;"12";90944;47905;14007;34571;25227;23250;8108;11602;116513;386;12066;
"46969250";20080101;20081231;"12";76641;37071;11143;26213;19374;28635;5408;13919;123620;692;10785;
"26218275";20120101;20121231;"12";6132;6041;243;4090;2885;1649;351;4736;4454;44;1200;
"26218275";20110101;20111231;"12";3811;3686;76;3000;2141;258;553;2366;3678;;868;
"26218275";20100101;20101231;"12";3627;3425;92;2556;1412;334;737;3231;3244;;1158;
"26218275";20090101;20091231;"12";2567;2380;25;1826;1321;119;622;2389;3029;;487;
"26218275";20080101;20081231;"12";3338;3073;14;1786;1169;1330;135;3213;5455;;608;
"28585941";20130101;20131231;"12";2102;1905;670;1241;1011;573;258;7142;17;;78;
"28585941";20120101;20121231;"12";2585;2426;1658;1230;965;353;;7889;13;;123;
"28585941";20110101;20111231;"12";2258;2152;1094;1186;797;327;;10347;68;;236;
"28585941";20100101;20101231;"12";2782;2769;1138;1016;232;1117;;11809;1;;806;
"28585941";20090429;20091231;"9";2288;2282;397;447;;1437;;7254;2;;330;
"27509427";20120101;20121231;"12";9993;5279;136;8619;8896;1318;;7520;6261;;-387;
"27509427";20110101;20111231;"12";11737;6240;183;9095;8279;2586;;9352;9358;42;798;
"27509427";20100101;20101231;"12";11418;6001;265;8479;6328;2918;;8498;21635;;2491;
"27509427";20090101;20091231;"12";9883;9401;471;6528;4458;3245;;10693;16887;;2441;
"27509427";20080101;20081231;"12";7701;7000;;4657;804;2797;;28196;8830;;4790;
"25936883";20120101;20121231;"12";11106;4579;934;2292;760;6834;;;7390;;1858;
"25936883";20110101;20111231;"12";6260;2655;847;880;12;3400;;;3889;1115;953;
"25936883";20100101;20101231;"12";5391;1644;108;131;-230;3280;;;;;248;
"25936883";20090101;20091231;"12";4641;1751;108;-110;-132;2771;;;1318;;-95;
"25936883";20080101;20081231;"12";3432;1119;108;-11;-223;1463;;2747;;612;99;
"60778997";20130101;20131231;"12";50005;32339;17208;17719;6067;19690;;5;73622;3212;1983;
"60778997";20120101;20121231;"12";48670;31675;16463;16072;4564;19843;;;85159;1659;2577;
"60778997";20110101;20111231;"12";55224;37239;15670;14570;2526;27616;;4661;88612;4711;2925;
"60778997";20100101;20101231;"12";52486;32957;12710;12530;2850;23235;;6330;85085;3172;1060;
"60778997";20090101;20091231;"12";75461;39485;9436;12858;4304;48514;;5983;79693;2577;-318;
"60778997";20080101;20081231;"12";84157;49742;15249;14313;-7386;56516;;7554;120779;2629;14828;
"27531813";20130101;20131231;"12";6816;5005;2350;963;770;5664;189;3392;17397;;256;
"27531813";20120101;20121231;"12";6709;4337;1710;990;709;5316;403;317;21040;177;-54;
"27531813";20110101;20111231;"12";7164;4671;1760;929;535;6089;146;473;21867;;204;
"27531813";20100101;20101231;"12";7499;4724;2976;755;849;6262;482;237;16074;;-298;
"27531813";20090101;20091231;"12";6621;4390;2602;1069;612;5151;401;552;15637;;259;
"27531813";20080125;20081231;"12";4899;2508;976;832;;4067;;664;11254;;733;
"25206958";20120101;20121231;"12";44993;38712;4772;32340;15106;12528;;5674;180432;93;25177;
"25206958";20110101;20111231;"12";37628;32690;4954;25216;5758;12318;;12448;154820;;25910;
"25206958";20100101;20101231;"12";34810;30414;3114;20868;11628;10877;;7482;98471;101;14802;
"25206958";20090101;20091231;"12";30135;13386;1738;20738;13325;5114;;5387;72774;86;11321;
"25206958";20080101;20081231;"12";36713;29995;1830;23127;11880;7511;;6979;134124;;18706;
"25430530";20110101;20111231;"12";161;63;;151;-49;10;;;;;;
"25430530";20100101;20101231;"12";161;63;;151;-49;10;;;;;;
"25430530";20090101;20091231;"12";161;63;;151;-49;10;;;;;;
"25430530";20080101;20081231;"12";161;63;;151;-49;10;;;;;;
"26047900";20130101;20131231;"12";68652;42581;;55331;2149;8004;;;159946;31562;9066;
"26047900";20120101;20121231;"12";113364;77246;32538;45441;22762;40240;;;244828;144;-15244;
"26047900";20110101;20111231;"12";110181;66669;21594;66052;15385;40146;;;298200;337;11585;
"26047900";20100101;20101231;"12";144083;94320;36389;58287;7695;81045;;;379327;381;14075;
"26047900";20090101;20091231;"12";143690;83484;28448;50192;14494;29934;;;18663;82;-6888;
"26047900";20080101;20081231;"12";60744;7723;;56991;10490;2179;;;19920;;5843;
"25287249";20130101;20131231;"12";84726;41864;19887;41106;24575;16556;5501;81691;28332;77;4757;
"25287249";20120101;20121231;"12";93802;51895;26178;38130;20843;7750;12895;90277;18579;;4855;
"25287249";20110101;20111231;"12";60276;43082;18917;34396;16897;24591;1066;78198;17550;;5410;
"25287249";20100101;20101231;"12";40170;37189;14368;17230;16687;10390;;84435;14283;43;435;
"25287249";20090101;20091231;"12";38403;36319;17700;16797;16430;17106;4500;71964;13993;484;654;
"25287249";20080101;20081231;"12";33192;32622;11990;16540;6170;12652;4000;99013;9614;20;13183;
"29069858";20130101;20131231;"12";187;180;;-78;-238;262;;;;77;-36;
"29069858";20120101;20121231;"12";221;115;;-29;8;159;;;;;-216;
"29069858";20110101;20111231;"12";566;403;;218;350;325;;;;;-316;
"29069858";20100101;20101231;"12";1121;908;;560;-73;519;;;;;530;
"29069858";20090611;20091231;"7";4;4;;1;;2;;;3;;-1;
"28337212";20130101;20131231;"12";351;351;;241;;110;;1023;;;19;
"28337212";20120101;20121231;"12";310;310;;263;;47;;2128;;;61;
"28337212";20110101;20111231;"12";755;755;;242;;513;;1600;;;32;
"28337212";20100101;20101231;"12";1074;1074;;349;28;725;;3636;;;151;
"28337212";20090414;20091231;"9";1428;1428;106;266;;1162;;3078;;;79;
"26120534";20130101;20131231;"12";1950;1857;135;1489;;459;;13631;;;1514;
"26120534";20120101;20121231;"12";1800;1602;214;1195;;489;41;19905;;;1225;
"26120534";20110101;20111231;"12";4850;4540;200;4301;2351;460;89;14839;1831;;1919;
"26120534";20100101;20101231;"12";3005;2558;167;2461;1133;406;138;17221;927;;1315;
"26120534";20090101;20091231;"12";2321;2059;188;1855;1017;466;;18121;1162;;816;
"26120534";20080101;20081231;"12";2321;2059;188;849;1181;1472;;21110;359;;1374;
"25347748";20130101;20131231;"12";186560;57398;25378;153688;32140;7716;310;2006;98842;5475;9562;
"25347748";20120101;20121231;"12";174061;49117;24052;146381;22750;6944;1245;2338;90766;6882;12308;
"25347748";20110101;20111231;"12";177868;46989;22883;136820;18050;7773;2176;2332;87294;5308;7352;
"25347748";20100101;20101231;"12";170020;47083;20342;131912;11550;6353;207;2470;80412;5526;8878;
"25347748";20090101;20091231;"12";164381;44620;20169;124815;7800;5714;2500;2627;75066;3590;6081;
"25347748";20080101;20081231;"12";170417;43883;24071;120752;7800;7492;;2918;85168;6192;4573;
"47468424";20130101;20131231;"12";349383;127781;43666;145154;66013;50543;19835;;172864;31775;21366;
"47468424";20120101;20121231;"12";310816;124322;39708;130492;48765;60577;23669;;230796;41613;23946;
"47468424";20110101;20111231;"12";269514;96322;51382;113506;46344;59363;15280;;135981;17510;6033;
"47468424";20100101;20101231;"12";226044;69044;39906;110855;42099;22739;4582;;91019;6812;7911;
"47468424";20090101;20091231;"12";219544;71212;36197;106568;42398;11096;12321;;78252;2821;3548;
"47468424";20080101;20081231;"12";220429;63925;36806;105129;39853;12768;262;;88792;2789;7100;
"46506357";20140101;20140930;"9";172592;94533;20737;56103;9210;46614;35000;180060;13160;57;9005;
"46506357";20130101;20131231;"12";149362;79283;10406;49926;5773;36767;35000;185408;22196;106;6066;
"46506357";20120101;20121231;"12";129416;62250;10987;52921;3703;24364;24999;145744;24676;220;4048;
"46506357";20110101;20111231;"12";131931;65145;22918;50370;2627;32198;32347;121489;25190;1160;4317;
"46506357";20100101;20101231;"12";143980;76039;23660;50495;2887;44958;42782;91688;22413;723;3396;
"46506357";20090101;20091231;"12";130645;66118;17355;50454;2837;31849;39270;113461;22446;277;4552;
"46506357";20080101;20081231;"12";121409;56330;17440;49488;1799;20977;35385;112019;23644;324;4471;
"48292486";20130101;20131231;"12";91181;42167;18214;76575;;6313;;151;66610;4150;3628;
"48292486";20120101;20121231;"12";91826;40048;20620;74033;;13335;;;63998;4197;4079;
"48292486";20110101;20111231;"12";84011;38575;21304;70654;;7813;26;;60237;5536;160;
"48292486";20100101;20101231;"12";84714;39512;22659;69829;;9362;2113;;58526;6939;-2829;
"48292486";20090101;20091231;"12";87555;38318;21198;72131;;9557;1670;;57935;5723;-4794;
"48292486";20080101;20081231;"12";97660;44548;22496;74443;;12035;7716;485;73542;7833;1313;
"45350531";20120101;20121231;"12";218928;60069;34556;50200;58600;76856;30725;;80767;21919;-9285;
"45350531";20120101;20120331;"3";198377;67245;31624;;;;;;19793;5647;-1538;
"45350531";20110101;20111231;"12";182977;47103;29803;64219;63637;36147;10991;;86539;18729;3144;
"45350531";20100101;20101231;"12";170363;46051;22521;64101;57377;19359;;244;84491;17543;-146;
"45350531";20090101;20091231;"12";191622;54323;26163;57840;53771;6317;;1755;98197;15476;3648;
"45350531";20080101;20081231;"12";177827;52641;30624;53913;50702;45247;;5825;93486;15252;4694;
"29094194";20130101;20131231;"12";2442;2442;;294;33;2668;;;44921;;71;
"29094194";20120101;20121231;"12";2195;2195;;236;;1959;;;31025;;44;
"28803868";20130101;20131231;"12";286;185;;191;38;;;;;;-51;
"28803868";20120101;20121231;"12";349;249;;244;50;103;;;1070;;-10;
"28803868";20110101;20111231;"12";344;223;;256;-7;88;;;722;;80;
"28803868";20100924;20101231;"4";200;100;;193;;7;;;;;-7;
"46343555";20130101;20131231;"12";7589;5832;3266;-4062;-4652;5954;3014;;25216;460;293;
"46343555";20120101;20121231;"12";8692;6905;3479;-4099;239;6449;2473;;41454;605;-3579;
"46343555";20110101;20111231;"12";13298;10784;3327;791;222;6848;2618;;49798;;1133;
"46343555";20100101;20101231;"12";12999;10820;5040;773;30;9741;48;;48317;42;1145;
"46343555";20090101;20091231;"12";8177;6907;3411;552;491;6128;;;45362;;544;
"46343555";20080101;20081231;"12";11575;9826;3251;1013;312;9546;;;69820;1084;1211;
"46964321";20110101;20111231;"12";101923;65989;26225;29892;3929;17685;9747;5482;107253;1151;4734;
"46964321";20100101;20101231;"12";85544;54698;19613;27613;2934;13962;9782;17;90893;5628;3036;
"46964321";20090101;20091231;"12";75461;51223;23719;26565;1980;9535;10355;299;81121;2860;2954;
"46964321";20080101;20081231;"12";95763;65066;27861;25561;1419;26787;12000;2228;112839;339;2428;
"62909134";20120301;20130228;"12";104946;67367;34542;87241;84420;13459;;4439;110374;4405;812;
"62909134";20110301;20120229;"12";103611;63311;29681;86731;83029;10652;;108040;2132;3651;1681;
"62909134";20100101;20110228;"14";102645;61364;30483;85340;78845;12840;;123903;1458;8205;5144;
"62909134";20090101;20091231;"12";109898;76976;31090;81156;69964;21596;;118807;22532;6949;10879;
"62909134";20080101;20081231;"12";114739;78135;36318;72273;62914;28839;;157881;1057;18842;10123;
"25932853";20130101;20131231;"12";148839;65948;33782;102339;68665;20954;6138;31;164362;344;19350;
"25932853";20120101;20121231;"12";132080;51117;23976;89244;57922;13561;13270;67;160645;150;16110;
"25932853";20110101;20111231;"12";125286;54125;16860;78614;46766;14745;23310;134;149036;163;15887;
"25932853";20100101;20101231;"12";121717;52423;18159;66914;46372;17570;23810;17;131296;176;4810;
"25932853";20090101;20091231;"12";115246;43805;16767;66216;45875;14647;25731;151;113393;117;3141;
"25932853";20080101;20081231;"12";116981;41450;15921;68242;35071;11557;16247;995;172586;532;15254;
"27736792";20130101;20131231;"12";4;4;;-1317;-1363;1;;;6;;-7;
"27736792";20120101;20121231;"12";300;300;;-1309;-139;294;;;1630;;-1130;
"27736792";20110101;20111231;"12";175;175;;-84;45;159;;;1523;;-178;
"27736792";20100101;20101231;"12";177;177;;100;25;77;;;1277;9;34;
"27736792";20090101;20091231;"12";152;121;;79;18;73;;;801;;19;
"27736792";20080101;20081231;"12";78;78;;70;6;8;;;602;;22;
"25024639";20120101;20121231;"12";10805;2208;388;-10433;-3314;20230;;;6696;;-6808;
"25024639";20110101;20111231;"12";15774;6198;1112;-3214;452;18650;;;22327;357;-3503;
"25024639";20100101;20101231;"12";23167;15444;3246;552;293;21401;500;156;49073;47;628;
"25024639";20090101;20091231;"12";27666;20839;3020;393;-13905;26161;;;82619;;12165;
"25024639";20080101;20081231;"12";13106;6113;904;-13804;-12159;24428;1000;;32680;;-1104;
"28647602";20130101;20131231;"12";29533;23240;4233;3722;1187;14358;5000;2543;61928;9594;2620;
"28647602";20120101;20121231;"12";17116;15769;3976;1397;50;10314;5000;1275;40451;3384;1963;
"28647602";20110211;20111231;"11";684;684;218;260;;394;;;3873;54;47;
"29123755";20130101;20131231;"12";619;191;21;-689;-40;69;;;877;18;-810;
"29123755";20120208;20121231;"11";853;603;;66;;787;;;;;-35;
"25838113";20120101;20121231;"12";30152;18725;5238;2;934;26978;3000;1875;39382;;-2893;
"25838113";20110101;20111231;"12";29548;17429;3704;1544;2947;21833;6000;4180;59347;33;-1591;
"25838113";20100101;20101231;"12";28614;22388;4167;3557;4340;19036;6000;6461;73773;1;-1047;
"25838113";20090101;20091231;"12";22299;15798;4230;4951;4326;14000;;6445;;;343;
"25838113";20080101;20081231;"12";21047;11868;2910;4936;7869;11299;;108;;;-3272;
"25382314";20130101;20131231;"12";19489;11706;;5066;4851;8639;;252;;;479;
"25382314";20120101;20121231;"12";20796;12208;;5132;4777;9748;;411;;;910;
"25382314";20110101;20111231;"12";19703;11610;895;4877;4711;7837;;654;;;544;
"25382314";20100101;20101231;"12";14299;8655;702;4830;4633;4379;4569;380;16722;;518;
"25382314";20090101;20091231;"12";13717;7697;987;4749;4578;3556;4891;438;13506;;612;
"25382314";20080101;20081231;"12";17380;11963;;5265;3191;6912;4682;246;22251;;2435;
"25265717";20120701;20130630;"12";771189;240872;75710;464184;-93625;175248;122320;;661955;2048;21063;
"25265717";20110701;20120630;"12";774862;213363;72343;452145;-104524;268039;;3668;620148;42518;20299;
"25265717";20100701;20110630;"12";858222;282856;83968;440672;-71638;403679;;2540;485067;3262;-17070;
"25265717";20100101;20100630;"6";683444;144853;44267;103559;-29148;578227;;;167800;191;-30883;
"25265717";20090101;20091231;"12";510396;105459;24941;145355;-42980;365041;;;282525;590;13138;
"25265717";20080101;20081231;"12";184830;92183;21527;31525;6398;150344;;99;236507;659;-45554;
"25206745";20130101;20131231;"12";54175;1698;74;-399;2050;28010;;;25491;;-1125;
"25206745";20120101;20121231;"12";50075;2148;177;2247;1838;20105;;;34658;;598;
"25206745";20110101;20111231;"12";42733;3956;122;1992;2878;17712;;;34361;;501;
"25206745";20100101;20101231;"12";28024;2481;53;3245;1737;11942;;;30859;;1858;
"25206745";20090101;20091231;"12";26524;1465;50;1849;1737;7633;;;27465;;2456;
"25206745";20080101;20081231;"12";27202;4768;51;831;682;6189;;;28959;;726;
"28764226";20130101;20131231;"12";435557;184801;13347;161845;40409;109963;79374;210093;286028;;13059;
"28764226";20120101;20121231;"12";436678;124288;7376;190234;68264;95360;44998;175974;181824;10397;16324;
"28764226";20120101;20120101;"1";191662;99647;34320;77903;68264;59648;33540;;;;;
"28764226";20110101;20111231;"12";2926;26;;1348;-313;1578;;;;;-304;
"28764226";20100101;20101231;"12";2771;71;;1687;-38;1084;;;;;-240;
