ICO;FIRMA75;DAT_OD;POC_MESICU;AKTIVACELK;KP;VLASTNIJM;CIZIZDROJE;KZ;TZPZ;V;TZPVVAS;OHANIM;PROVHOSPV;NU;HOSPVZUO;
"I» firmy";"N·zev firmy";"ZaË·tek obdobÌ";"PoËet mÏsÌc˘ ˙ËetnÌ z·vÏrky";"Aktiva celkem - tis. KË";"Kr·tkodobÈ pohled·vky - tis. KË";"VlastnÌ kapit·l - tis. KË";"CizÌ zdroje - tis. KË";"Kr·tkodobÈ z·vazky - tis. KË";"Trûby za prodej zboûÌ - tis. KË";"V˝kony - tis. KË";"Trûby za prodej vlastnÌch v˝robk˘ a sluûeb - tis. KË";"Odpisy dlouhodobÈho nehmotnÈho a hmotnÈho majetku - tis. KË";"ProvoznÌ v˝sledek hospoda¯enÌ - tis. KË";"N·kladovÈ ˙roky - tis. KË";"V˝sledek hospoda¯enÌ za ˙ËetnÌ obdobÌ (+/-) - tis. KË";
"29316359";"1.Plastcompany, s.r.o.";20130101;"12";12844;3322;646;12157;7690;17127;8057;8057;356;731;92;474;
"29316359";"1.Plastcompany, s.r.o.";20121213;" 1";200;;172;1;;;;;;-27;;-28;
"64049922";"2HHOLINGER, s.r.o.";20110101;"12";10717;4614;647;9904;3226;;;;;;;;
"64049922";"2HHOLINGER, s.r.o.";20100101;"12";13281;6697;1171;12086;4686;190;20626;20426;229;1270;461;700;
"64049922";"2HHOLINGER, s.r.o.";20090101;"12";12800;5374;472;12285;4284;486;15651;16454;239;-1795;547;-2464;
"46964827";"4 M, s.r.o.";20080101;"12";561;332;490;71;71;;279;279;;482;;380;
"26315793";"4 SPA s. r. o.";20120101;"12";8264;4358;976;7288;7228;;8313;6561;440;128;;69;
"26315793";"4 SPA s. r. o.";20110101;"12";3883;1793;907;2976;2976;;5315;5215;275;676;;571;
"26315793";"4 SPA s. r. o.";20100101;"12";963;;396;567;567;231;2931;2931;;299;;296;
"26315793";"4 SPA s. r. o.";20090101;"12";337;3;81;256;256;;;;;-19;;-19;
"27755169";"42&Czech, s.r.o.";20080101;"12";4221;1171;2924;1215;1215;172;9790;9790;;3481;;2724;
"46969250";"5M, s.r.o.";20130101;"12";172390;68655;78622;93677;52556;9654;156991;154372;5541;9912;837;7309;
"46969250";"5M, s.r.o.";20120101;"12";178752;79059;71276;107397;58321;8560;160440;158653;5332;5499;772;4401;
"46969250";"5M, s.r.o.";20110101;"12";173258;73033;68880;103559;62808;6594;146407;144994;6056;17937;502;15130;
"46969250";"5M, s.r.o.";20100101;"12";133220;44265;54024;79049;49733;6648;145547;143065;6184;21487;685;19356;
"46969250";"5M, s.r.o.";20090101;"12";90944;27809;34571;55863;23250;11602;117714;116513;5753;12066;813;8259;
"46969250";"5M, s.r.o.";20080101;"12";76641;22356;26213;50277;28635;13919;122947;123620;3582;10785;1495;5952;
"26218275";"A Alternativ, s.r.o.";20120101;"12";6132;2226;4090;2042;1649;4736;4477;4454;32;1200;84;1090;
"26218275";"A Alternativ, s.r.o.";20110101;"12";3811;1171;3000;811;258;2366;3678;3678;79;868;97;744;
"26218275";"A Alternativ, s.r.o.";20100101;"12";3627;1542;2556;1071;334;3231;3282;3244;86;1158;99;1029;
"26218275";"A Alternativ, s.r.o.";20090101;"12";2567;1212;1826;741;119;2389;3029;3029;80;487;70;390;
"26218275";"A Alternativ, s.r.o.";20080101;"12";3338;1217;1786;1552;1330;3213;5455;5455;84;608;86;502;
"28585941";"A&A, v˝roba, obchod a servis, s.r.o.";20130101;"12";2102;816;1241;861;573;7142;17;17;;78;25;10;
"28585941";"A&A, v˝roba, obchod a servis, s.r.o.";20120101;"12";2585;242;1230;1342;353;7889;13;13;;123;;45;
"28585941";"A&A, v˝roba, obchod a servis, s.r.o.";20110101;"12";2258;476;1186;1060;327;10347;68;68;17;236;;169;
"28585941";"A&A, v˝roba, obchod a servis, s.r.o.";20100101;"12";2782;417;1016;1766;1117;11809;1;1;;806;;564;
"28585941";"A&A, v˝roba, obchod a servis, s.r.o.";20090429;"9";2288;1525;447;1841;1437;7254;2;2;;330;;247;
"27509427";"A-Zmont ChotÏbo¯, s.r.o.";20120101;"12";9993;2530;8619;1374;1318;7520;6242;6261;874;-387;;-477;
"27509427";"A-Zmont ChotÏbo¯, s.r.o.";20110101;"12";11737;2636;9095;2642;2586;9352;9243;9358;913;798;;616;
"27509427";"A-Zmont ChotÏbo¯, s.r.o.";20100101;"12";11418;1135;8479;2930;2918;8498;21435;21635;587;2491;9;1951;
"27509427";"A-Zmont ChotÏbo¯, s.r.o.";20090101;"12";9883;1426;6528;3355;3245;10693;17053;16887;296;2441;32;1870;
"27509427";"A-Zmont ChotÏbo¯, s.r.o.";20080101;"12";7701;1885;4657;3044;2797;28196;8830;8830;452;4790;51;3653;
"25936883";"a2 CZ, s.r.o.";20120101;"12";11106;3331;2292;8814;6834;;11482;7390;1390;1858;2;1412;
"25936883";"a2 CZ, s.r.o.";20110101;"12";6260;849;880;5380;3400;;4736;3889;562;953;;748;
"25936883";"a2 CZ, s.r.o.";20100101;"12";5391;715;131;5260;3280;;1290;;188;248;;241;
"25936883";"a2 CZ, s.r.o.";20090101;"12";4641;946;-110;4751;2771;;1318;1318;197;-95;;-98;
"25936883";"a2 CZ, s.r.o.";20080101;"12";3432;9;-11;3443;1463;2747;1084;;202;99;;92;
"60778997";"ABA äumperk, s.r.o.";20130101;"12";50005;10459;17719;32286;19690;5;73060;73622;1095;1983;165;1641;
"60778997";"ABA äumperk, s.r.o.";20120101;"12";48670;10030;16072;32598;19843;;86351;85159;1183;2577;231;1503;
"60778997";"ABA äumperk, s.r.o.";20110101;"12";55224;17262;14570;40654;27616;4661;88826;88612;1515;2925;319;2038;
"60778997";"ABA äumperk, s.r.o.";20100101;"12";52486;17105;12530;39956;23235;6330;85995;85085;1584;1060;308;-324;
