"year";"ICO";"AKTIVACELK";"ebit";"ebitda";"financial.expanses";"sales"
2008;26091607;13959;2307.64;3689.64;83;16351
2008;45192171;53517;851.92;2846.92;814;53101
2008;25566741;38080;1670;2666;2103;40220
2008;25217194;8131;-1219;1165;154;23803
2008;26845890;906;83.7935096271551;83.7935096271551;0.84350962715508;1682
2008;27769887;5058;351.196034103435;764.196034103435;122.886034103435;13976
2008;48397571;93549;13988.16;15868.16;2;119310
2008;18251412;387696;82769.96;92244.96;2803;863971
2008;25936883;3432;225.532823489207;427.532823489207;152.852823489207;2747
2008;25208934;69614;46721.1863300581;47848.1863300581;478.536330058137;202710
2008;10615164;30870;4573.00128763147;5212.00128763147;-23.2187123685319;31191
2008;25505424;107;0.967580974137912;0.967580974137912;0.177580974137912;55
2008;26768747;3323;1579.46;1628.46;20;3584
2008;25578367;14673;282.14;665.14;230;245
2008;61776343;17118;1334.18;2135.18;116;14242
2008;26350211;4769;377.525364894373;749.525364894373;218.735364894373;588
2008;25319442;30280;441.08;1647.08;242;102494
2008;46969250;76641;6197.08;9779.08;1495;137539
2008;25997572;97136;7973.68;8452.68;712;387758
2008;26022494;41174;1525.13;2448.13;303;116169
2008;26364930;9754;161.664821122839;171.664821122839;55.8048211228387;3582
2008;27961559;1157;81.1768426206856;81.1768426206856;36.9368426206856;1519
2008;27478351;2819;508.6;508.6;3;6129
2008;26334399;4577;481.667173452567;912.667173452567;171.987173452567;16902
2008;25815491;38532;2111.83;3606.83;76;88358
2008;26221454;230698;7203.05;10901.05;2388;223922
2008;25935429;317986;-1795;41748;9263;482068
2008;49448811;492136;7323.54;45885.54;6039;571853
2008;60933461;16784;-6775;-6626;67;659
2008;48591726;431921;35389.52;65412.52;7512;512935
2008;25980751;53306;12614.2894062607;12982.2894062607;789.569406260689;134887
2008;26383101;15449;150.39;2146.39;118;56947
2008;44227744;24993;4204.99;6039.99;33;67200
2008;60778997;84157;9425.1;10050.1;190;128333
2008;26397510;7158;102.06;198.06;12;13547
2008;14869446;392162;57598.24;66906.24;595;554284
2008;64610225;47670;5707.36970425421;10371.3697042542;928.659704254208;104665
2008;46964321;95763;1880.1;4657.1;1414;115067
2008;25516434;14679;1994.4154201681;2276.4154201681;9.14542016810244;12092
2008;46966307;2410;141.31;403.31;71;5826
2008;26496135;15946;1456.49540323922;2386.49540323922;65.305403239217;31718
2008;63491796;201690;11631.7;17125.7;1970;338680
2008;25467395;3715;262.718387452572;471.718387452572;130.788387452572;10914
2008;46343369;74893;889.58;8011.58;493;155203
2008;14613182;690482;27602.09;56597.09;12062;1097016
2008;25932853;116981;10701.9;17022.9;1609;173581
2008;49681311;850302;1920.79;51785.79;893;1566092
2008;27969363;15395;7192.62810332971;7775.62810332971;260.378103329713;41056
2008;26873028;4375;705.81;771.81;122;13469
2008;116700;89068;5066.59085563571;7623.59085563571;570.700855635713;29506
2008;15030211;53406;-80;1876;1008;65151
2008;45357072;510238;14936.94;38720.94;11709;1019429
2008;48268445;31370;-249;245;8;53158
2008;26069784;18247;848.89;2065.89;777;91901
2008;27797767;8703;10.4931528922409;10.4931528922409;4.17315289224092;263
2008;25024639;13106;-1591;-777;154;32680
2008;26912791;12063;2242.75826507327;2605.75826507327;64.7282650732687;22663
2008;26364522;9718;1219.9;3389.9;343;15778
2008;27257045;309667;-28377;-4111;9030;270934
2008;11434783;52669;9213.99;13010.99;1013;61693
2008;25560174;62141;1926;3576;1933;243720
2008;25838113;21047;-3311;-2744;232;108
2008;63323044;20914;2817.66;3215.66;168;39327
2008;25583824;42442;1016.35;1538.35;17;548
2008;26924056;6970;1952.86;2055.86;30;30579
2008;46343555;11575;207.21;1606.21;50;69820
2008;64087646;1482;446.360291058189;456.360291058189;4.75029105818913;3864
2008;49445553;628411;-92126;-79950;8225;1291831
2008;63492920;19108;1732.65;2108.65;46;6863
2008;25023063;125439;9260.06;15716.06;2613;265121
2008;47549742;95471;1263.31;1503.31;166;8420
2008;27781917;392410;-28787;-24160;5644;16417
2008;48911348;195043;29478.2894902951;37930.2894902952;1009.05949029515;134009
2008;46963987;69170;-1746;557;1158;95383
2008;27531813;4899;679.835455454722;814.835455454722;180.555455454722;11918
2008;25568345;168543;22148.79;30154.79;976;312188
2008;25870599;189666;13811.54;24896.54;2968;655584
2008;61500941;124113;27079.25;30005.25;2;234011
2008;545503;433391;35026.26;42185.26;2167;678390
2008;61776572;67074;907.19;4849.19;306;113191
2008;27491935;2063;155.57;246.57;11;11120
2008;26301890;81117;2128.44;8697.44;1310;70186
2008;27736792;78;10.6251619482758;10.6251619482758;0.355161948275823;602
2008;25248294;51743;-311;2291;1466;39387
2008;47718129;49397;11955.6973115408;13325.6973115408;1182.46731154082;243749
2008;26218275;3338;482.58;566.58;86;8668
2008;26942097;9660;933.765060374963;1061.76506037496;337.315060374963;36429
2008;25350871;30039;1823.86;2851.86;217;57574
2008;25244451;475782;21757.31;57111.31;831;578325
2008;26345269;12351;1385.22;2618.22;28;31210
2008;26947048;9510;-1548;-1094;314;1538
2008;27332047;3259;-288.561296605615;-288.561296605615;105.438703394385;311
2008;45350531;177827;3300.09;13127.09;874;99311
2008;49192094;54814;1774.58;3363.58;430;46622
2008;26786354;11792;29;49;37;8833
2008;46982621;87645;1421;10646;2369;86792
2008;41539770;1501;122.94;122.94;55;5936
2008;60709847;11735;-164;-164;105;41898
2008;62029959;56398;2953.12;5323.12;245;65783
2008;60740612;5927;3827.48149261638;4102.48149261638;-21.3985073836183;17352
2008;64356043;437067;-39439;-16793;123;821625
2008;26274744;114439;10372.93;13733.93;840;204631
2008;25242504;1136;81.1686058987059;504.168605898706;9.27860589870588;3319
2008;48155853;6856;311.116860978419;890.116860978419;264.506860978419;13951
2008;25276476;25363;1364.54;2418.54;475;73046
2008;25347748;170417;3882.96;16338.96;1178;88086
2008;25040723;34256;407;1390;641;83653
2008;49967029;40182;1797.41389553224;1797.41389553224;818.603895532238;84535
2008;25273396;73209;4681.38;7575.38;1741;87362
2008;46885811;21799;1570.52;2666.52;237;46573
2008;26816466;19395;454.19;1389.19;11;82109
2008;26088207;4570;1592.76056070042;1616.76056070042;106.770560700419;15849
2008;27978117;1622;147.244603696113;300.244603696113;69.0346036961131;32
2008;26030110;38198;3180.91;3906.91;393;34339
2008;554812;71288;3347.42;7688.42;2164;239372
2008;27660702;10931;-2293;-2251;451;72442
2008;26877503;77715;12737.86;15214.86;229;181563
2008;25917293;28891;15961.3370217026;16138.3370217026;177.137021702567;36780
2008;25840096;1403;111.72;111.72;58;3311
2008;48292486;97660;1078.33;7547.33;346;74027
2008;45792950;91960;10559.53;11789.53;126;134968
2008;46509755;599886;-30548;2946;8186;557556
2008;28762;98641;1077.28726340295;7095.28726340295;634.097263402948;167890
2008;25837061;13747;265;1437;277;45915
2008;27790827;219;-1.75693318103462;-1.75693318103462;1.24306681896538;224
2008;25022229;61263;6490.92;8553.92;54;110010
2008;48153745;38746;8824.71;9133.71;17;80975
2008;26379708;20115;-587;-587;69;183578
2008;46966153;101293;12921.22;14434.22;1452;242235
