@relation 'R_data_frame-weka.filters.unsupervised.attribute.NumericToNominal-R3-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R1'

@attribute acid.test numeric
@attribute debt.ratio numeric
@attribute asset.turn numeric
@attribute returns numeric
@attribute def {0,1}

@data
5.654941,0.090329,0.798776,0.054368,0
0.676764,0.352945,0.4684,0.043409,0
0.291212,0.238857,0.71893,0.012114,0
1.517998,0.190946,0.514162,0.048747,0
9.408202,0.167691,0.413732,0.061782,0
1.307181,0.4256,3.873979,0.534852,0
2.452159,0.256767,1.338798,-0.003431,0
3.334387,0.203241,1.267643,0.08895,0
0.842041,0.651121,3.147789,0.125379,0
0.987294,0.476456,0.762485,0.018086,0
0.924103,0.582044,1.251156,0.022857,0
2.180822,0.335557,1.093257,0.142194,0
0.628716,0.36206,1.092292,0.043192,0
2.461921,0.161974,0.903684,0.048421,0
1.171622,0.589999,2.627811,0.316903,0
6.159972,0.070953,0.636146,0.059455,0
3.794299,0.288574,1.910461,0.087226,0
1.478218,0.325299,0.054008,-0.031104,0
2.315813,0.667499,2.370444,0.403645,0
0.471415,0.557819,0.001811,-0.097445,1
1.073228,0.905704,2.887267,0.044747,0
1.082542,0.40919,1.411676,0.011267,0
2.005736,0.284585,1.815657,0.146796,0
0.935723,0.543592,1.470276,0.193523,0
0.272708,1.203753,1.41543,-0.222074,1
0.376398,1.302635,0.984776,-0.378218,1
0.415329,0.406784,0.712614,0.048412,0
0.995407,0.442152,0.531735,0.020487,0
0.666533,1.302635,1.650085,-0.420331,1
0.534361,0.533187,4.013753,0.075289,0
2.221184,0.479714,3.302629,0.137211,0
0.216463,0.953385,0.804086,0.011724,0
2.251664,0.329861,4.445307,0.534852,0
1.31281,0.367422,1.86904,0.085221,0
0.526985,0.460101,2.49052,0.082514,0
1.573298,0.330034,0.712445,0.046634,0
0.730296,0.442029,1.565018,0.195604,0
0.445633,0.50803,1.020929,0.036534,0
1.19729,0.291594,0.304771,0.033699,0
1.73971,0.542543,1.27384,0.064552,0
0.941848,0.429358,1.588493,0.089754,0
1.883114,0.484225,0.643458,0.081827,0
1.115022,0.828248,1.575695,0.300845,0
0.714876,0.682037,0.587548,0.05798,0
1.196771,0.528528,1.26909,0.123858,0
0.677366,0.609627,3.38996,0.014082,0
9.408202,0.029934,1.727001,0.231673,0
2.422957,0.230778,0.503891,0.041334,0
0.848747,0.688341,1.369652,0.061885,0
1.147671,0.742424,1.263492,-0.130592,0
1.367232,0.752474,0.033193,0.02761,0
1.894214,0.472382,1.413309,0.121897,0
1.079291,0.725032,0.194553,0.17834,0
3.257977,0.31766,3.508683,0.288093,0
