@relation R_data_frame

@attribute ICO numeric
@attribute year numeric
@attribute def numeric
@attribute class numeric
@attribute acid.test numeric
@attribute debt.ratio numeric
@attribute asset.turn numeric
@attribute returns numeric

@data
10559655,2012,0,1,3.152868,0.122203,0.808272,0.089166
112402,2012,0,1,0.479015,0.360929,0.503858,0.022705
11434783,2012,0,1,0.309586,0.107728,0.172964,0.008829
116700,2012,0,1,9.408202,0.156256,0.394755,0.035083
12090000,2012,0,1,1.969256,0.28334,3.102825,0.534852
12151271,2012,0,1,3.728292,0.175821,0.724924,-0.001479
13606115,2012,1,1,0.794595,0.670807,4.181899,0.039929
13642693,2012,0,1,0.989921,0.265135,0.970946,0.09039
14613182,2012,0,1,0.629074,0.589132,1.157829,0.011167
14869446,2012,0,1,2.847739,0.291129,1.148838,0.065243
15030211,2012,0,1,0.880708,0.304665,1.275164,0.033849
15036626,2012,0,1,3.219608,0.104127,0.83546,0.039099
18251412,2012,0,1,1.066042,0.51486,2.99726,0.395251
18503527,2012,0,1,9.408202,0.01103,0.059848,-0.011273
18511422,2012,0,1,3.37186,0.265013,2.000893,0.077249
24124818,2012,0,0,0.130058,0.824776,0.422624,0.008824
24682462,2012,1,1,1.401263,0.703818,2.325206,-0.03225
24731536,2012,0,0,5.163136,0.632214,0.015652,-0.25474
24754544,2012,0,1,1.65776,0.778708,1.888144,0.149637
24778877,2012,0,1,1.337611,0.36379,1.620444,0.029232
25022229,2012,0,1,2.897108,0.193057,1.733325,0.159791
25023063,2012,0,1,0.625907,0.607223,1.182924,0.091874
25026496,2012,0,1,0.559791,0.332063,0.723062,0.077474
25138341,2012,1,1,0.207588,1.302635,0.354222,-0.420331
25191551,2012,0,1,0.590426,0.608426,4.202072,0.000653
25193716,2012,0,1,2.305051,0.5,2.847751,0.094815
25206745,2012,0,1,0.098035,0.955127,0.692122,0.011942
25230425,2012,0,1,0.481732,0.503977,2.328725,0.049759
25244451,2012,0,1,1.564976,0.326994,0.897915,0.08445
25248294,2012,1,1,0.327019,0.51096,0.972398,-0.019361
25264508,2012,0,1,0.810242,0.543866,0.225748,0.052743
25273396,2012,0,1,1.731844,0.477606,1.743848,0.157032
25287249,2012,0,1,1.245677,0.593505,1.160487,0.051758
25293931,2012,0,1,1.145886,0.438366,0.622906,0.080609
25313568,2012,0,1,0.778916,0.680285,0.641674,0.069562
25314017,2012,0,1,1.370597,0.457544,1.275956,0.128071
25319442,2012,0,1,0.740741,0.726608,2.09924,0.011198
25347748,2012,0,1,3.060813,0.159025,0.534893,0.070711
25366211,2012,0,1,3.285142,0.379119,2.12972,0.534852
25382314,2012,0,1,1.252359,0.753222,0.019763,0.043758
25390236,2012,0,1,2.605114,0.43392,1.472167,0.055607
25435051,2012,0,1,0.910349,0.742116,0.11976,0.11018
25435434,2012,0,1,2.94821,0.351602,3.700787,0.311842
25435655,2012,0,1,0.402257,0.607619,1.876873,0.040229
25558811,2012,0,1,2.088183,0.126851,1.153466,0.033913
25560590,2012,0,1,1.540663,0.649071,5.283242,0.049853
25566741,2012,0,1,1.443382,0.654155,2.218189,0.014641
25568345,2012,0,1,0.526856,0.492414,1.540458,-0.207166
25578367,2012,0,1,0.786152,0.983924,1.238674,-0.02234
25582232,2012,0,1,1.26354,0.491512,1.264426,0.105533
25599658,2012,0,1,0.951298,1.029684,2.113959,0.056762
25620665,2012,0,0,0.668065,1.05929,2.797598,-0.165346
25840096,2012,0,1,1.113946,0.657718,1.171141,0.048098
25843389,2012,0,1,1.023408,0.768994,1.345443,-0.273007
25876996,2012,0,1,0.338147,0.939612,0.690114,-0.028523
25917293,2012,0,1,2.56109,0.298991,1.075371,-0.420331
25917536,2012,0,1,0.533727,0.192264,0.595469,0.041279
25932853,2012,0,1,1.011554,0.324319,1.216778,0.121972
25934937,2012,0,1,2.165429,0.476001,1.675931,0.086994
25935429,2012,0,1,1.823111,0.824557,1.245654,0.029859
25942751,2012,0,1,0.78585,0.856688,2.699698,0.045014
25945017,2012,0,1,5.317192,0.412727,1.29608,0.094214
25949896,2012,0,1,3.679428,0.347099,1.521496,0.210043
25954113,2012,0,1,1.313512,0.362989,1.857219,0.109186
25961624,2012,0,1,0.467485,1.135239,1.476723,0.074015
25971689,2012,0,1,0.479412,0.972153,1.697975,-0.140926
25997572,2012,0,1,1.040392,0.806283,1.937971,0.007268
25999401,2012,0,1,0.615177,0.851606,1.267132,0.141347
26008203,2012,0,1,2.220566,0.313782,1.511108,0.259705
26022494,2012,0,1,1.681778,0.839064,3.136473,0.187231
26030110,2012,0,1,3.503041,0.25053,1.427625,0.235371
26047900,2012,0,1,1.111034,0.599158,2.159663,-0.134469
26069784,2012,0,1,0.656078,0.658956,4.952172,0.208977
26072351,2012,0,1,1.278599,0.60131,3.222742,0.116986
26088207,2012,0,1,2.864275,0.273939,2.336067,0.149887
26120534,2012,0,1,2.618868,0.336111,5.283242,0.534852
26200651,2012,0,1,0.870396,0.672536,1.424553,-0.002158
26217686,2012,0,1,0.547155,0.751632,1.056044,0.059505
26221454,2012,0,1,1.407093,0.308617,1.230353,-0.041628
26238861,2012,0,1,2.146412,0.511431,1.133129,0.074513
26257254,2012,1,0,2.603175,0.601437,0.04789,0.012798
26274744,2012,0,1,1.432397,0.653245,1.01981,0.031296
26308011,2012,0,1,2.384907,0.346603,1.785297,0.187882
26320657,2012,1,1,0,1.302635,5.283242,-0.420331
26343398,2012,0,1,3.500019,0.145879,0.858869,0.099977
26364522,2012,0,1,0.396657,0.919245,0.483991,-0.0569
26392739,2012,0,0,9.408202,0,1.922222,0.016667
26407159,2012,1,1,0.165271,1.302635,3.832028,-0.420331
26482461,2012,0,0,1.131373,0.022764,0.258317,-0.043855
26496135,2012,0,0,6.401547,0.115609,1.37898,-0.026866
26693755,2012,0,0,1.26072,0.766262,0.864911,-0.079237
26741334,2012,0,1,0.441574,0.94458,1.548194,-0.026441
