@relation 'data10-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,1'

@attribute acid.test numeric
@attribute debt.ratio numeric
@attribute asset.turn numeric
@attribute returns numeric
@attribute def {0,1}

@data
5.795822,0.082957,0.789192,0.047477,0
0.576442,0.379306,0.359646,0.016355,0
0.237111,0.314593,0.61583,0.054158,0
1.49466,0.15666,0.513026,0.006257,0
9.408202,0.150436,0.277087,-0.010461,0
2.192208,0.256226,1.338044,0.11473,0
2.582015,0.287644,2.798211,0.511705,0
1.108029,0.614879,3.024291,0.190789,0
0.997082,0.471398,0.772431,0.084913,0
0.925492,0.524652,1.163579,0.029415,0
1.594466,0.316852,0.908396,0.04816,0
0.850859,0.341191,1.396533,0.011186,0
1.999381,0.210232,1.138943,0.045968,0
2.622608,0.400256,2.772633,0.489039,0
5.048586,0.082761,1.176439,0.025434,0
4.320159,0.265609,1.875418,0.088855,0
1.467537,0.400529,1.611142,0.206734,0
1.0523,0.604476,1.533879,0.190775,0
0.556961,0.976173,2.124962,0.027108,0
0.329622,1.011696,0.314563,-0.420331,1
0.506639,0.22595,0.933599,0.059968,0
1.691496,0.473557,2.080118,0.215645,0
0.915335,0.472794,0.31861,-0.025594,0
1.344945,1.302635,2.329038,-0.279381,1
0.780116,0.545387,3.667032,-0.385497,0
2.322323,0.42436,3.932093,0.261237,0
0.203316,0.884206,1.101163,0.0663,0
2.509883,0.400517,3.043752,0.425223,0
6.385653,0.445711,1.678455,0.433614,0
0.77665,0.542849,0.433562,-0.028665,0
1.771403,0.430658,1.020212,0.122473,0
0.13083,0.424775,3.054099,0.137871,0
2.052933,0.342938,0.583629,0.055733,0
0.537933,0.507032,1.225218,0.101772,0
0.413853,0.520783,0.880217,-0.018145,0
1.335039,0.325338,0.249184,0.011576,0
1.68615,0.552428,1.397388,0.098782,0
3.559074,0.416535,0.635091,0.04779,0
2.196439,0.571073,2.457506,0.010829,0
2.88956,0.474331,0.718866,0.099929,0
0.602703,1.032399,0.851138,0.014886,0
0.318881,1.171031,1.825877,-0.413439,0
0.954591,0.752854,0.50075,-0.00141,0
1.158857,0.582231,1.279972,0.059918,0
0.789622,0.610366,3.146797,0.042927,0
9.408202,0.03554,1.736336,0.215055,0
4.076372,0.224138,0.487484,0.052217,0
0.961458,0.754065,1.130948,0.038445,0
1.269608,0.655899,1.351041,0.065686,1
0.888802,0.662214,1.196028,0.036226,0
2.04672,0.342781,1.667072,0.047825,0
0.918872,0.882442,0.151362,0.138749,0
3.582756,0.286275,3.871139,0.238616,0
0.367739,0.684666,1.780152,0.062686,0
3.608231,0.268518,0.898432,0.103141,0
2.462388,0.324986,1.456587,0.213831,0
2.269807,0.223005,2.039202,-0.027465,0
0.968906,0.759335,2.693815,0.011097,0
9.408202,0.021645,0.121212,0.121212,0
1.095858,0.665755,1.681666,0.163828,0
3.26285,0.13349,1.342439,0.10281,0
0.815012,0.915274,1.992353,0.016444,0
1.199436,0.450718,1.337136,0.164011,0
1.108203,0.683953,0.540113,0.074975,0
1.073509,0.90283,1.852761,-0.058381,1
0.797537,0.90036,2.665092,-0.253711,0
0.576323,0.651375,2.117354,-0.275351,1
0.727792,0.87569,2.804012,-0.03659,1
1.419619,0.790977,0.993377,0.094785,0
1.404913,0.465983,1.123724,0.004033,0
0.712397,0.673256,1.143081,0.05826,0
0.387446,0.890131,1.433286,0.1654,0
0.415752,0.802315,0.660957,-0.170469,1
0.965517,0.620766,1.970545,0.270987,0
4.370248,0.163302,1.043697,0.534852,0
1.478459,0.124981,0.543182,0.033764,0
0.828033,0.450249,1.078839,0.039518,0
1.500653,0.576893,1.584061,0.094771,0
1.098826,0.740781,1.346801,0.170126,0
1.710703,0.370247,1.487921,0.233484,0
5.292968,0.293768,1.088676,0.128799,0
0.999668,0.511452,2.035557,0.123866,0
0.277092,1.174878,1.131421,-0.183265,0
0.232811,0.824874,1.059957,0.04443,0
0.501479,0.708134,1.708134,0.039872,0
4.484411,0.148668,1.496972,0.278237,0
1.214083,0.760209,1.979373,0.044333,0
0.58083,0.796774,1.113614,0.04025,0
1.588423,0.475589,2.079736,0.521866,0
1.333721,1.103791,2.863194,-0.208462,0
3.705354,0.151992,1.089911,0.129392,0
1.080529,0.337501,1.016481,0.065659,0
0.7148,0.595462,2.632698,0.097687,0
0.142719,0.82175,5.283242,0.222485,0
0.934123,0.882476,5.283242,0.134253,0
4.479817,0.191779,2.068751,0.119699,0
9.408202,0.126218,0.593611,0.123631,0
4.395221,0.181032,5.283242,0.437604,0
0.976828,0.454553,1.146838,-0.008758,0
0.761222,0.783164,0.682269,0.023709,0
3.112045,0.295285,1.785222,0.319272,0
1.068531,0.564484,0.738086,0.048963,0
0.852381,0.656825,1.872416,0.106202,0
2.15182,0.222003,1.89125,0.225504,0
2.897959,0.582661,0.03391,-0.024356,1
0.929455,0.757805,1.351181,0.02322,0
5.516838,0.09187,1.61137,0.03881,0
0.402287,0.643894,0.786057,0.026816,0
3.1506,0.242427,2.071013,0.534852,0
1.626102,0.588785,3.283489,0.310488,0
0.736511,1.302635,5.283242,-0.420331,0
2.749454,0.149477,0.825365,0.119967,0
2.713248,0.659661,2.63249,0.285648,0
0.401894,0.559105,4.11021,0.099767,0
0.755801,0.742565,0.355854,0.003703,0
9.408202,0.1,0.4,-0.005556,0
0.629449,0.977788,1.926501,-0.120972,0
0.428466,1.302635,5.283242,-0.420331,1
9.408202,0.018033,0.29577,-0.038466,0
5.665974,0.119639,1.523876,0.076923,0
1.239625,0.75288,1.719662,0.250384,0
2.845026,0.377343,1.8796,0.140187,0
1.703028,0.718969,1.10525,0.076329,0
0.437823,0.511211,0.801099,0.117003,0
1.798118,0.421326,2.502404,0.051099,0
1.070968,0.293006,1.732514,0.328922,0
1.304855,0.539133,3.64309,0.167666,0
1.258145,0.796808,2.730816,0.046041,0
